timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663939811137,519,Go to main page,200,OK,User Journey 1-2,text,true,,3976,275,5,5,http://localhost:3000/api/v1/booksApp/books,517,0,0
1663939811137,519,Go to main page,200,OK,User Journey 1-1,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,519,0,0
1663939811501,534,Submit order,200,OK,User Journey 1-3,text,true,,342,339,5,5,http://localhost:3000/api/v1/booksApp/orders,533,0,0
1663939811658,524,Submit order,200,OK,User Journey 1-4,text,true,,342,341,5,5,http://localhost:3000/api/v1/booksApp/orders,524,0,0
1663939811658,525,Go to book's details,200,OK,User Journey 1-1,text,true,,819,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba79,525,0,0
1663939811658,524,Go to book's details,200,OK,User Journey 1-2,text,true,,819,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba79,524,0,0
1663939811658,524,Go to basket,200,OK,User Journey 1-5,text,true,,483,272,5,5,http://localhost:3000/api/v1/booksApp/basket,524,0,0
1663939812036,514,Go to main page,200,OK,User Journey 1-3,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,513,0,0
1663939812183,514,Go to main page,200,OK,User Journey 1-2,text,true,,3976,275,5,5,http://localhost:3000/api/v1/booksApp/books,514,0,0
1663939812184,517,Go to main page,200,OK,User Journey 1-4,text,true,,3976,273,5,5,http://localhost:3000/api/v1/booksApp/books,517,0,0
1663939812183,518,Go to main page,200,OK,User Journey 1-1,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,517,0,0
1663939812552,517,Go to book's details,200,OK,User Journey 1-3,text,true,,743,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7e,516,0,0
1663939812698,527,Go to book's details,200,OK,User Journey 1-2,text,true,,922,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba82,526,0,0
1663939812704,524,Go to book's details,200,OK,User Journey 1-4,text,true,,669,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,523,0,0
1663939812704,527,Go to book's details,200,OK,User Journey 1-1,text,true,,669,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,527,0,0
